"","gi_sc_24","gi_sc_27","gi_sc_31","gi_sc_39","gi_sc_52","gi_sc_55","gi_sc_60"
"CD8+_T_naive_DDX49",7.45057620718662,7.44164445540716,7.47672892016564,7.46294024507191,7.43892484260681,7.46151562572892,7.46133520711457
"CD8+_T_naive_NPC2",7.66507185894901,7.5352650257362,7.60105265974869,7.65662049657532,7.79672920900711,7.63313540554943,7.76160973857891
"CD8+_T_naive_CCL28",7.42908118451471,7.37657997332855,7.48474509967928,7.45323167778509,7.33477227835581,7.40476088845427,7.41577330961039
"CD8+_T_naive_RIC3",7.66507182379606,7.64339862399305,7.77549659246832,7.72503732096325,7.56599878306952,7.7358757790197,7.80453415371207
"CD8+_T_naive_TRIB2",7.32654472243622,7.39926299824788,7.27979150482385,7.36504138705422,7.35702540816099,7.36655688902679,7.34137885559241
"CD8+_T_naive_NOC2L",7.43839368599099,7.59015564086427,7.52956855517166,7.61702615046549,7.44134024990718,7.62921561013256,7.50186160719526
"CD8+_T_naive_MRPL28",7.45901508370791,7.27363150413707,7.46378101502691,7.46080761594729,7.27363150413707,7.36655688902679,7.62692183509191
"CD8+_T_naive_GLRX3",7.45901508370791,7.27358253685255,7.53328855285267,7.54310766873518,7.39090422566764,7.40269999842288,7.45173437682238
"CD8+_T_naive_BEX5",7.32654472243622,7.28370961780837,7.34343117457692,7.3899668038709,7.32388630737473,7.34814000752129,7.38538475405489
"CD8+_T_naive_GRAP",7.42702029448332,7.31907955619988,7.45476854657074,7.43808506096223,7.39834432793863,7.36655688902679,7.38094032324711
"CD8+_T_naive_PLP2",7.66507182379606,7.41033299382975,7.9472038335159,7.83680621010515,7.73705180946522,7.83178345057361,7.99195113069492
"CD8+_T_naive_LGALS1",7.39840115013546,7.48210331840125,7.43961288879684,7.57299896397374,7.58278442437372,7.664117785683,7.7403406609579
"CD8+_T_naive_NTAN1",7.42702029448332,7.30751537239732,7.4245842216949,7.49469148420753,7.5333313658931,7.43795971302561,7.5041693243361
"CD8+_T_naive_ISOC2",7.39429982989494,7.4031062021328,7.47519368718711,7.42737900365622,7.40038658933244,7.45527159119456,7.42279695384021
"CD8+_T_naive_MIEN1",7.52095159348741,7.65737805498834,7.45958828889973,7.49855274749088,7.44176526577221,7.53884560006415,7.53814263518831
"CD8+_T_naive_PIGX",7.3199492367993,7.31944393845956,7.297181110689,7.33757148804133,7.35478124273555,7.34154452188438,7.37787973275212
"CD8+_T_naive_ZFYVE21",7.29143528592242,7.24482968714705,7.32392139848298,7.31215174671193,7.28500637671341,7.29143528592242,7.30669045419429
"CD8+_T_naive_PRDM1",7.29143528592242,7.32464243910156,7.34482556594771,7.34517095439397,7.36481912866792,7.38474162814132,7.34555880633905
"MAIT_HMG20B",7.96278861444618,7.68492028817425,7.77491492501011,7.94584391157442,7.95266553566171,7.76841761845551,8.0934172904474
"MAIT_ASPSCR1",7.63644132873636,7.61423015419879,7.48416497384687,7.63614372568749,7.74115523239674,7.63484590563479,7.80266733928415
"MAIT_TM7SF2",7.51470534078602,7.58939597535973,7.76409953342168,7.62968637903765,7.68427374642699,7.76841761845551,7.58939597535973
"MAIT_SELL",7.68001770743923,7.77551623240023,7.78737298231417,7.87892590219934,7.64075398671197,7.88029328942795,7.86535185114479
"naive_B_ITPA",8.03387540073152,8.0353664624153,8.05948923126259,8.05100057235843,8.04079330691179,8.03455750747529,7.97124174625057
"naive_B_ADCK5",7.9145959932131,7.87223344843831,7.94095335450397,7.86466635361729,7.86559325333709,7.86553678175801,7.87732348400148
"naive_B_CD1C",8.0862474091608,8.09688662854368,8.09193019084765,8.062145938392,8.083927500814,8.06632463781645,8.0188621972797
"naive_B_ASPSCR1",7.95546140419061,7.97482517188091,7.85931591603985,7.98316250558184,8.01678749029239,7.9693057036196,8.03010436254185
"naive_B_ICMT",7.83377590387398,7.81339565255387,7.85039218308619,7.85197979875367,7.84629507751849,7.83377590387398,7.81339565255387
"naive_B_SLC2A6",8.04510688160867,8.06215393646957,8.05490420676001,7.97757225420418,7.97954410559313,7.99060771681032,7.94664468062851
"Plasma_Cell_SUSD3",6.88209754040496,7.09092118495655,7.09092118495655,7.16373912381398,7.79625509923027,7.48094009320745,7.09092118495655
"Plasma_Cell_TCEAL4",6.88209754040496,6.96836114942866,7.51611330555089,6.64110580069969,6.4328293775975,6.88209754040496,6.4328293775975
"Treg_GRAP",7.64051611875493,7.57248182254484,7.76773448463499,7.72473057680826,7.57248182254484,7.69033457247779,7.7097376954157
"Treg_MAF1",8.17288405794891,8.25722552219116,8.19588010431846,8.14791017057269,8.10700751165493,8.18986745820715,8.13788331509916
"Treg_ASPSCR1",7.71178684398223,7.73744080245888,7.73744080245888,7.74714810626788,7.73744080245888,7.76160529770509,7.73744080245888
"Treg_NDFIP2",7.82071798814945,7.71704242029365,7.71704242029365,7.74880468810523,7.71704242029365,7.64051611875494,7.71704242029365
