"age","-2","-1","0","1","2"
0,0.158212295880974,0.204233646571792,0.251122192006026,0.298738666402934,0.346983839656371
0.5,0.167518660487807,0.215847783061293,0.265132227457035,0.315220801201766,0.366005331420867
1,0.176912612480369,0.227535988359165,0.27920617779822,0.331759928604558,0.385079961817903
1.5,0.18639737809893,0.23930266725366,0.293349494887386,0.348362453185724,0.404215020205194
2,0.195974299385536,0.251149782151645,0.307564619930677,0.36503119010022,0.423413617459305
2.5,0.20564434175195,0.263078808127036,0.321853391725138,0.381768231190792,0.442678013861939
3,0.215407914037288,0.275090507549294,0.336216774278527,0.398574624198636,0.462009248605427
3.5,0.225277067996655,0.287200470097837,0.350673830208597,0.415472859314289,0.481433209574852
4,0.235243916936829,0.299398840782535,0.365212521758939,0.432448540447295,0.500932996842029
4.5,0.245290736353581,0.311663356599625,0.379805745555834,0.449469470008906,0.520471102126931
5,0.255399607802487,0.323971665657628,0.394426398225565,0.466503521795437,0.540010142033061
5.5,0.265545260956187,0.336292270474998,0.409036362418115,0.483505618783487,0.559497782296912
6,0.275673442628064,0.348557285882211,0.423553464878273,0.500378726235882,0.578821618621051
6.5,0.285724690775202,0.360692695947171,0.437888402817954,0.517017607648213,0.597859902782388
7,0.295649142015728,0.372637025707675,0.451967411222795,0.533335602026977,0.616512531428632
7.5,0.305398614419191,0.384331278404743,0.465719995171366,0.549250100063061,0.634684220833786
8,0.31492287450335,0.395714219452192,0.479073202340273,0.564675780396687,0.652276684833629
8.5,0.324169903109484,0.40672271487549,0.491952039014166,0.579525107563763,0.669189218522753
9,0.333083463550559,0.417288691970457,0.504275803311855,0.593704020192875,0.685313725565416
9.5,0.341612568623261,0.42735098408367,0.51597240067102,0.607128799487656,0.700554213695533
10,0.349732532641999,0.43688151657731,0.527009873970678,0.61976313109177,0.714869558159646
10.5,0.357428485294409,0.445864531098143,0.537371192245738,0.631588331029567,0.728239051803693
11,0.364698590618046,0.454300497491366,0.547058891713345,0.642608749319257,0.740668602443494
11.5,0.371543529946704,0.462192939238114,0.556079145421835,0.652832997508607,0.752169041101886
12,0.377960720582588,0.469541242334211,0.56443310656208,0.662263777100047,0.762744391223363
12.5,0.383947214721809,0.476344279997245,0.572121283671225,0.670903027312022,0.772397808999939
13,0.389501764121974,0.482602980371371,0.579146626528972,0.67875554272437,0.781135745089511
13.5,0.394622819218055,0.488317822468631,0.585511508947471,0.685825434894432,0.788963878464543
14,0.399305739010964,0.493485361521702,0.591213559626126,0.692111261162991,0.795881537362019
14.5,0.403548915116382,0.498105890967888,0.59625487695244,0.697616803068761,0.801894049274642
15,0.407365957154306,0.502198597091512,0.600660183179068,0.702372241783626,0.807036953325263
15.5,0.410777224810965,0.505790905900269,0.60446396747788,0.706419084875548,0.811358702519802
16,0.413814381232389,0.508924092513337,0.607717162832457,0.709817919281547,0.814929499271228
16.5,0.416511589291153,0.511642272459372,0.610473911557644,0.712632936970958,0.81782357185903
17,0.418900928547803,0.513986708403584,0.612784749481609,0.714923988092207,0.820110090807422
17.5,0.421014283931439,0.515998174753622,0.614699447917299,0.716749900955107,0.82185696704898
18,0.422884219569244,0.517718052016392,0.616268326603437,0.718170011535485,0.823132596009302
18.5,0.424543943062335,0.519188279271579,0.617542195581084,0.719244096380347,0.824005783498166
19,0.426027941494049,0.520452130679022,0.618573277674874,0.720033446429018,0.824546976163914
19.5,0.427369916483682,0.521551703913441,0.61941222570271,0.720597390696387,0.824824271261454
20,0.428598522913649,0.522522750335441,0.620101999671988,0.720986180038254,0.824895269795857
20.5,0.429739824425463,0.523397700317055,0.620681484589114,0.721245218157548,0.82481193991807
21,0.43081411211108,0.524201822026956,0.621180958267021,0.721409810199096,0.824614620412765
21.5,0.431840692293845,0.52495907459334,0.621629053778991,0.721513274633232,0.824341319133469
22,0.432840429226353,0.525695205882174,0.622056432433164,0.721591209907977,0.824032590512417
22.5,0.433834442789346,0.526436169260004,0.622493906363256,0.721679311111782,0.823729035731902
23,0.434843007329022,0.527206789657168,0.622970862770436,0.72181154454166,0.823469220708804
23.5,0.435886912095677,0.528032436290276,0.623517250496566,0.722022449248879,0.823292293425434
24,0.436989610256908,0.528941651664762,0.624166689878849,0.722350727935755,0.823242055591238
24.5,0.438172686527449,0.529960613211393,0.624949916330905,0.722831663625048,0.823358345863274
25,0.43944727909355,0.531102687622761,0.6258824540767,0.723482904383163,0.823660930409322
25.5,0.440817592139655,0.532372770449799,0.626969792489888,0.724310483568733,0.824156372343155
26,0.442270478722697,0.533754632577107,0.628192492732536,0.725291687070866,0.824818662570133
26.5,0.443789128786628,0.535227659861134,0.629526004626398,0.726397964993336,0.825615237977098
27,0.445359743388181,0.536774983427303,0.63095026084357,0.727605994447852,0.8265195152222
27.5,0.446969079444139,0.53838047371558,0.632446120278189,0.728893573423025,0.827506236930481
28,0.448603272385639,0.540027297584546,0.633993663862228,0.730237659740062,0.82854925814398
28.5,0.450247993729054,0.541698119318823,0.635572435286692,0.73161464775373,0.829621855165874
29,0.451887846947868,0.543374385878546,0.637160607240877,0.732999407780406,0.830695630733227
29.5,0.453508329306011,0.545038659053818,0.638737709518505,0.734368433750804,0.831744102956838
30,0.455099754496869,0.546679277697811,0.640290071332707,0.735706102281427,0.832749814560247
30.5,0.456656796268647,0.548289798395636,0.641810147747707,0.737003873724466,0.833703397461396
31,0.458186848300045,0.549878929033907,0.643308097812683,0.738273578071854,0.834618623396297
31.5,0.459700031037903,0.551458610664148,0.644797830683241,0.739531323270812,0.835514079523177
32,0.461204547090955,0.553038491035602,0.646290551955723,0.740790073063903,0.836404739673664
32.5,0.46270822676326,0.554627766999667,0.647796918767547,0.74206212914694,0.837304786632633
33,0.464219290727889,0.556236091500063,0.649328097979678,0.743360346646415,0.838228990304064
33.5,0.465746190399477,0.557873387761517,0.650895550050226,0.744697883883067,0.839192419760419
34,0.467297869831701,0.559550166884563,0.652511400102328,0.746088624937427,0.840210915442761
34.5,0.468882819819108,0.561276393772778,0.65418711431166,0.747545665400154,0.841299383291635
35,0.470507182451729,0.563059218361758,0.655930858399032,0.749078298750504,0.842468409572062
35.5,0.472173871964625,0.564901928308343,0.657746286860559,0.750690646271633,0.843722735120008
36,0.473875218218179,0.566795147851052,0.659622309748439,0.752370002536085,0.845048188938686
36.5,0.475601185162533,0.568726689021465,0.661544590508899,0.754099991525189,0.846426512578703
37,0.477342961374699,0.570685849065202,0.663500550608188,0.755866278399071,0.847841778726053
37.5,0.479091943058731,0.572662189584345,0.665477945353628,0.757654942113844,0.849278560456141
38,0.480839193086585,0.574644886766238,0.667464107396805,0.759451613592201,0.850720965006864
38.5,0.482575657629601,0.576622989416208,0.669446246876094,0.761241818168983,0.85215301841594
39,0.48429220648591,0.578585466478474,0.671411506532743,0.763011038231963,0.853558735360287
39.5,0.485979800399073,0.580521402796838,0.673347187669833,0.764744970380062,0.854922408081781
40,0.487629889732299,0.582420469328479,0.675241293234909,0.766430141913352,0.856229296404843
40.5,0.489235301838075,0.584273972887373,0.677083740018597,0.768055284824543,0.85746716253098
41,0.490793925053703,0.58607921918479,0.678871398539403,0.769617049285082,0.858632654522281
41.5,0.49230482013897,0.587834901223621,0.680602747760075,0.771113915873184,0.859724468672345
42,0.493766668661063,0.589539259951699,0.682275746692456,0.772543777045019,0.860740640057349
42.5,0.495178084896711,0.591190453700243,0.683888262106086,0.773904423417552,0.8616790875962
43,0.496537793783509,0.592786768754225,0.685438311752188,0.775193819381194,0.862537921790967
43.5,0.497844533282537,0.594326503318941,0.686923930133438,0.776409950610778,0.86331527394473
44,0.499096981003851,0.595807880244314,0.688343067776618,0.777550710031604,0.864009168971674
44.5,0.500293834018434,0.597229141578251,0.689693700461104,0.778614021425167,0.864617663153664
45,0.501433925675785,0.598588687142169,0.690973988952537,0.779598019601417,0.865139044187939
45.5,0.502518367001834,0.599887619550263,0.692185212321952,0.780504359316333,0.865575505104564
46,0.503557247105033,0.601137708052404,0.693340937875691,0.781348544959123,0.86594459530278
46.5,0.504562884545312,0.60235336805514,0.694457758417179,0.782149451008563,0.866267546601646
47,0.505547483551459,0.603548876471035,0.695552080502858,0.782925695061852,0.86656524156375
47.5,0.506523256743313,0.604738518736007,0.696640294462515,0.783695830330485,0.8668584284987
48,0.507502524461098,0.605936707996062,0.697738911966297,0.784478500965178,0.867167894516253
48.5,0.508497593216195,0.607157840964825,0.698864400240808,0.785292255919937,0.86751426055674
49,0.509520569351455,0.608416076221496,0.700032927398119,0.786155263670434,0.867917667836899
49.5,0.51058371736818,0.60972576228819,0.701260855551119,0.787085867308339,0.868398392915137
50,0.511700101871808,0.611102204289298,0.702565621930518,0.788103573023929,0.868977938403017
50.5,0.512879342411634,0.612556596813229,0.703959914294971,0.789222516910847,0.869671830102451
51,0.514116433485471,0.614082675147846,0.70543634739712,0.79043430971681,0.870470741735695
51.5,0.51540245755903,0.615669498870722,0.706982180367538,0.79172458267443,0.87135878462458
52,0.516727503080792,0.617304933354627,0.708583322854562,0.793077488091672,0.872318478511069
52.5,0.518081453259797,0.618976590496312,0.710225416758636,0.794476913235293,0.873332090448632
53,0.519454385116649,0.620672304685531,0.711894382470879,0.795907091397247,0.874382306365714
53.5,0.520836459623241,0.622380000788541,0.713576266743253,0.797352430611397,0.875452041295575
54,0.522217996431819,0.624087782382602,0.715257343280394,0.798797625224477,0.876524560783734
54.5,0.523589131867325,0.625783524438553,0.716923645949745,0.80022713343967,0.877582905683746
55,0.524939124345408,0.627454045905674,0.718560022317299,0.801624121227957,0.878608733614622
55.5,0.526259141686054,0.629088429669666,0.720153933806908,0.802974704215646,0.879586972918623
56,0.527548890788976,0.630685921700812,0.721704483575324,0.804278004068188,0.88051683154334
56.5,0.528810600905937,0.632248766704021,0.72321420475487,0.805536963684871,0.881401697534348
57,0.530048034527076,0.633781030792973,0.72468770864726,0.80675683170406,0.88224746873026
57.5,0.531265241929698,0.635287118540351,0.726129987021074,0.807943266865617,0.883060472414753
58,0.532465872459166,0.636770953026247,0.727545475342977,0.809101294904992,0.88384632404392
58.5,0.533653519193526,0.638236385508774,0.728938521222126,0.810235831422653,0.884610501360851
59,0.534831935925401,0.639687452191119,0.730313677139556,0.811352007943669,0.885358701909111
59.5,0.53600487195279,0.641128181371906,0.731675480997891,0.812454927272811,0.886096574633526
60,0.537175881844386,0.642562373991965,0.73302820751423,0.81354938684431,0.886829416545728
60.5,0.538348781512942,0.643994125459878,0.734376458694435,0.814640537770283,0.887562899385033
61,0.539528613817921,0.645428928125164,0.735726408884954,0.815735271097341,0.888304593806766
61.5,0.540720831088797,0.646872737582268,0.737084747436516,0.816841036117915,0.889062664947024
62,0.541931274786109,0.648331949291439,0.738458651376397,0.817965808761381,0.889845836496936
62.5,0.543165877799669,0.649813057980841,0.73985539997036,0.819117661879011,0.890662918000417
63,0.544430525469259,0.651322497689431,0.741282193761569,0.820304564289502,0.891522585092561
63.5,0.545731071557694,0.652866662229532,0.742746178235013,0.821534407374515,0.89243340905446
64,0.547073266508036,0.654451827645503,0.744254357365577,0.82281490906032,0.893403751304531
64.5,0.548462975264823,0.656084391090429,0.745813860941387,0.824153912488468,0.894442094604617
65,0.549906599754813,0.657771335012423,0.747432463513639,0.825559963821156,0.895557680770974
65.5,0.551409926619538,0.659518957985072,0.749117163543581,0.82704072974732,0.89675876473198
66,0.55297570959985,0.661330214758928,0.750871210369603,0.828599693689125,0.898048978711085
66.5,0.55460554544987,0.663206783404684,0.75269642116863,0.830238742264794,0.899430193954352
67,0.556299426882079,0.665148573521167,0.754592633594582,0.831957561479345,0.900901861944868
67.5,0.558057063246433,0.667155184141342,0.756559338468756,0.833755454854333,0.902463019652109
68,0.559878638265323,0.669226743046005,0.758596618804963,0.835632385858921,0.904113434671639
68.5,0.561764339903995,0.671363377719246,0.760704555760975,0.837588318608937,0.90585288195009
69,0.563713895767656,0.673564683576574,0.762882630877909,0.839622557452741,0.90768042402393
69.5,0.565727259715843,0.675830522743427,0.765130627361191,0.841734742239114,0.909595493230688
70,0.567805755295552,0.678162359233706,0.767450134690163,0.843926505198217,0.911599687562449
70.5,0.569949367245734,0.680560088434101,0.769840970958183,0.846197527303628,0.913692492478497
71,0.57215133623446,0.683015715133588,0.77229406244077,0.848537705981342,0.915862801959864
71.5,0.574401884293868,0.685517722574844,0.774796383297771,0.850932610001648,0.918094845713611
72,0.576685951453713,0.688048432169458,0.777327991044161,0.853360228374036,0.920364679386559
72.5,0.578987380621492,0.690588905800774,0.779867558387409,0.855797066217283,0.922646794532536
73,0.581291014578398,0.693121398622724,0.782395135449804,0.858221182201265,0.924917405433152
73.5,0.583581954848247,0.695628497091463,0.78489117851886,0.860611117556596,0.927153285939098
74,0.585845433061994,0.69809297701188,0.787336391128169,0.862945719280703,0.929331574692407
74.5,0.588066233209866,0.70049711492594,0.789710947023098,0.865203287792563,0.931428856267562
75,0.590227315364377,0.702821056429167,0.791992653550029,0.867359565608774,0.93341899568402
75.5,0.592313215453557,0.705046849982573,0.794161497086268,0.869392719620162,0.935278506101978
76,0.594316732640636,0.707166364769209,0.796208546531796,0.871293082402965,0.936997027013296
76.5,0.596234659812609,0.7091762182032,0.798130225282292,0.873056859969563,0.938570531124128
77,0.598071544262654,0.711082217152435,0.799933292193545,0.874691568614956,0.940007160295398
77.5,0.599833888365937,0.712892478860927,0.801627089986371,0.876207537278467,0.941318068813984
78,0.601528213246301,0.714615135391067,0.803220961381585,0.877615078186319,0.942514377780205
78.5,0.603160798585597,0.716258024149876,0.804723901454748,0.878924107370978,0.943606767965143
79,0.604736897811486,0.717827758224705,0.806143514700386,0.880143006769315,0.944604259143134
79.5,0.606261806668434,0.719330994339552,0.807487441022101,0.88128018377293,0.945515886659761
80,0.607741986455483,0.720775766528167,0.808764852540802,0.882345704130997,0.946352452514558
80.5,0.60918342387559,0.722169526970839,0.809984250963005,0.883348887936618,0.947123947416234
81,0.610588985029441,0.72351598775306,0.811149924120346,0.884294450321141,0.947835420357193
81.5,0.611959429311468,0.724816338892603,0.812263321628412,0.88518400830512,0.94848859921478
82,0.61329018783938,0.726065408440072,0.813318754113481,0.886011404127748,0.949076892589645
82.5,0.614575572727964,0.727256698690862,0.814309054625655,0.886768880766296,0.949592007469216
83,0.615810798848254,0.728384798585875,0.815228284899641,0.887450029092812,0.950027103095928
83.5,0.616991296250237,0.729444563200942,0.816070813841297,0.888048783006846,0.950375714209469
84,0.618112480481075,0.730430839968033,0.816831010356481,0.888559084730951,0.950631392595191
84.5,0.619169481206796,0.731338149103235,0.817502886240064,0.888974496280705,0.950787291197916
85,0.620156326004735,0.732159723714134,0.81807902484297,0.889287035194953,0.950834919181228
85.5,0.621067939768499,0.732889862735221,0.81855321030353,0.889490035067173,0.950767203690551
86,0.621903988530712,0.733528442457673,0.818925458353647,0.889583609701477,0.950584330168993
86.5,0.622667869213684,0.734079716968067,0.819200665526909,0.889573173940923,0.950292150356708
87,0.623373160322282,0.734559872720399,0.819397019970073,0.889478567769428,0.949911924729955
