"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"CD16+_Monocyte_IGF2BP3",7.81196878904098,7.81196878904098,7.81369533860304,7.87390429308365,7.81196878904098,7.84048776599406
"CD16+_NK_RPL37",11.6073187687363,11.9095246633024,11.9529762883386,11.9512746340728,11.9173257545462,12.207747666379
"CD16+_NK_RPS27",13.0251989123223,13.313844403653,13.4037620388914,13.432865775538,13.3029991204923,13.9698895641732
"CD16+_NK_RPLP2",12.0856701780561,12.4149812857089,12.4712673707185,12.3837930570611,12.4058080644419,12.8066451076967
"CD4+_T_cm_PCSK1N",8.22905747460364,8.25713322349379,8.24709278958824,8.20226186226606,8.22253037133617,8.23361639173284
"CD4+_T_cm_LEF1",8.52774332880094,8.56613034662326,8.54781215102197,8.64429355789979,8.56174275345694,8.47574949172209
"CD4+_T_cm_ACTN1",8.40386418672397,8.4005204041758,8.37737648039014,8.41246469493025,8.33850245791715,8.35263431275185
"CD4+_T_cm_PRMT2",9.0993906316188,9.11001600802057,9.02658589820783,9.10829269392337,8.80963592822017,9.05181983296143
"CD4+_T_cm_PLP2",8.61159307476785,8.63404343145227,8.72085905501314,8.58354303175005,8.82297207682086,8.88412285970181
"CD4+_T_cm_CPQ",8.22905747460365,8.26786143069394,8.24517131764762,8.23423185040019,8.20226186226606,8.21802430501201
"CD4+_T_cm_ADD3",8.70998488744809,8.65870865807635,8.63716404783064,8.63234632291392,8.65417550366537,8.51455888994061
"CD4+_T_cm_TCF7",9.12101164103412,9.06766552385433,9.09641105608979,9.17569826726714,9.29437263902009,8.91346128034869
"CD4+_T_cm_PRDM1",8.22905747460365,8.25713322349379,8.25107136786236,8.21833541101727,8.22253037133617,8.26430395340826
"CD4+_T_cm_LPAR6",8.39205661509705,8.34080485121705,8.35813387650828,8.26550871829802,8.33850245791715,8.4358671675717
"CD4+_T_cm_RORA",8.62173976955053,8.66683757265829,8.65070927616091,8.53303075745752,8.57756534815426,8.67162260204613
"CD4+_T_cm_NOSIP",9.06261981946463,9.19116011690871,9.24372710881007,9.1168927210912,9.30391557096374,9.33807930789687
"CD4+_T_cm_GLIPR1",8.40386418672396,8.3808885827264,8.38239884135778,8.29612188347137,8.33850245791715,8.4358671675717
"CD4+_T_cyt_AKT3",8.623613173217,8.62361317321699,8.64405045421604,8.62361317321699,8.70589313568068,8.62361317321699
"CD4+_T_cyt_SELL",9.04672666951038,9.11695972417256,9.02888105381985,9.10676990970313,8.85758643400185,8.96111619342846
"CD4+_T_cyt_CD27",9.71856546836903,8.80745174849858,8.8525647974063,8.72435816595495,8.85758643400185,8.96111622434608
"CD4+_T_cyt_S100A6",10.3338391178101,10.0917940353045,10.2780535222474,9.82643028982344,10.2343809303059,11.0030159753246
"CD4+_T_em_PCSK1N",8.48516453697025,8.4932729394179,8.49344782997091,8.4885409912088,8.48123011392432,8.51319240989913
"CD4+_T_em_GYPC",9.28814237935775,9.61623954565855,9.57437443698279,9.64408765400031,9.48034172301617,9.58441334129732
"CD4+_T_em_RPS15",12.4382221828207,12.6299047620874,12.671558419579,12.417075122441,12.6444587215148,12.830086863994
